Provider,PotentialFraud,inpatient_claims,inpatient_total_reimbursed,inpatient_avg_reimbursed,inpatient_std_reimbursed,inpatient_total_deductible,outpatient_claims,outpatient_total_reimbursed,outpatient_avg_reimbursed,outpatient_std_reimbursed,total_claims,total_reimbursed,avg_reimbursed_per_claim,inpatient_ratio,cv_inpatient,cv_outpatient
PRV51021,Yes,29.0,269000.0,9275.862068965518,10277.911654625932,30972.0,228.0,79830.0,350.13157894736844,631.2399379496628,257.0,348830.0,1352.0542635658915,0.1124031007751938,1.1079082105800937,1.797730468566828
PRV51023,No,9.0,54000.0,6000.0,3741.657386773941,8544.0,27.0,11610.0,430.0,668.511549868581,36.0,65610.0,1773.2432432432433,0.24324324324324326,0.6235056468545145,1.5510708813656173
PRV51024,No,9.0,61000.0,6777.777777777777,3767.5515184857713,9612.0,30.0,3050.0,101.66666666666667,116.68062313894262,39.0,64050.0,1601.25,0.225,0.5557862555749471,1.1364995760286618
PRV51025,No,13.0,86000.0,6615.384615384615,5252.593986759645,13884.0,74.0,32350.0,437.1621621621622,810.343272890291,87.0,118350.0,1344.8863636363637,0.14772727272727273,0.7938767608137769,1.84941408197266
PRV51026,No,0.0,0.0,0.0,0.0,0.0,76.0,19840.0,261.05263157894734,668.7831316600191,76.0,19840.0,257.6623376623377,0.0,0.0,2.55209469803984
PRV51027,No,0.0,0.0,0.0,0.0,0.0,53.0,29840.0,563.0188679245283,1044.0446219937528,53.0,29840.0,552.5925925925926,0.0,0.0,1.8510810211644497
PRV51029,No,0.0,0.0,0.0,0.0,0.0,93.0,30660.0,329.6774193548387,618.3119580109661,93.0,30660.0,326.17021276595744,0.0,0.0,1.8698342306448101
PRV51030,No,82.0,705600.0,8604.878048780487,8114.731344891162,86508.0,89.0,34160.0,383.82022471910113,719.4308129252685,171.0,739760.0,4300.930232558139,0.47674418604651164,0.9429289258916557,1.8695244343002393
PRV51031,No,28.0,329000.0,11750.0,13164.556792978468,29904.0,157.0,30720.0,195.6687898089172,365.13129687220373,185.0,359720.0,1933.978494623656,0.15053763440860216,1.1202924681285396,1.8565797716402495
PRV51032,No,0.0,0.0,0.0,0.0,0.0,23.0,5420.0,235.65217391304347,596.2063865273236,23.0,5420.0,225.83333333333334,0.0,0.0,2.519336191462143
PRV51035,No,1.0,29000.0,29000.0,0.0,1068.0,29.0,3560.0,122.75862068965517,162.9832715281834,30.0,32560.0,1050.3225806451612,0.03225806451612903,0.0,1.3169447964105094
PRV51036,No,0.0,0.0,0.0,0.0,0.0,278.0,74880.0,269.3525179856115,579.1512632739048,278.0,74880.0,268.38709677419354,0.0,0.0,2.1422077648440023
PRV51037,Yes,23.0,214000.0,9304.347826086956,5849.901184936185,24564.0,431.0,128230.0,297.51740139211137,579.1863651940712,454.0,342230.0,752.1538461538462,0.05054945054945055,0.6286601311706325,1.9402097247700911
PRV51038,No,30.0,229600.0,7653.333333333333,4210.637869060674,30972.0,111.0,35890.0,323.3333333333333,631.6620692244942,141.0,265490.0,1869.6478873239437,0.2112676056338028,0.5500985762828038,1.9475706142584612
PRV51040,No,9.0,63000.0,7000.0,7681.145747868608,8544.0,77.0,11470.0,148.96103896103895,250.15039905279934,86.0,74470.0,855.9770114942529,0.10344827586206896,1.0971497997241262,1.6681026004213693
PRV51041,No,0.0,0.0,0.0,0.0,0.0,34.0,7410.0,217.94117647058823,562.4232171797465,34.0,7410.0,211.71428571428572,0.0,0.0,2.5688325341364027
PRV51042,No,0.0,0.0,0.0,0.0,0.0,142.0,48050.0,338.38028169014086,625.7915694564421,142.0,48050.0,336.013986013986,0.0,0.0,1.8439243621932015
PRV51043,No,0.0,0.0,0.0,0.0,0.0,23.0,4480.0,194.7826086956522,297.6402582315741,23.0,4480.0,186.66666666666666,0.0,0.0,1.520258925011371
PRV51044,No,0.0,0.0,0.0,0.0,0.0,59.0,21330.0,361.52542372881356,633.149798583193,59.0,21330.0,355.5,0.0,0.0,1.7464976444157458
PRV51045,No,0.0,0.0,0.0,0.0,0.0,31.0,8390.0,270.64516129032256,602.7212483609703,31.0,8390.0,262.1875,0.0,0.0,2.218781462912965
PRV51046,No,8.0,101000.0,12625.0,11160.357137142675,8544.0,30.0,8370.0,279.0,468.2273983351723,38.0,109370.0,2804.358974358974,0.20512820512820512,0.8839186707700519,1.6722407083399011
PRV51047,No,0.0,0.0,0.0,0.0,0.0,11.0,2530.0,230.0,371.80640123591206,11.0,2530.0,210.83333333333334,0.0,0.0,1.6095515205017839
PRV51048,No,4.0,19000.0,4750.0,1707.825127659933,4272.0,34.0,8700.0,255.88235294117646,569.822501055765,38.0,27700.0,710.2564102564103,0.10256410256410256,0.3594664549905142,2.218223612994734
PRV51049,No,0.0,0.0,0.0,0.0,0.0,71.0,21720.0,305.9154929577465,644.0465321804644,71.0,21720.0,301.6666666666667,0.0,0.0,2.0984490746093787
PRV51052,Yes,2.0,14000.0,7000.0,2828.42712474619,2136.0,44.0,16800.0,381.8181818181818,710.726037976014,46.0,30800.0,655.3191489361702,0.0425531914893617,0.40400330306330384,1.856562910884862
PRV51053,No,1.0,8000.0,8000.0,0.0,1068.0,0.0,0.0,0.0,0.0,1.0,8000.0,4000.0,0.5,0.0,0.0
PRV51054,No,0.0,0.0,0.0,0.0,0.0,57.0,15130.0,265.43859649122805,417.09056131834507,57.0,15130.0,260.86206896551727,0.0,0.0,1.5654284582304385
PRV51055,No,2.0,16700.0,8350.0,10818.733752154178,2136.0,20.0,4940.0,247.0,549.3546453028221,22.0,21640.0,940.8695652173913,0.08695652173913043,1.2955015868942854,2.215139698801702
PRV51056,No,2.0,8000.0,4000.0,1414.213562373095,2136.0,20.0,6700.0,335.0,666.0369833259222,22.0,14700.0,639.1304347826087,0.08695652173913043,0.35346502433718946,1.9822529265652444
PRV51057,No,0.0,0.0,0.0,0.0,0.0,5.0,6830.0,1366.0,1273.8838251583227,5.0,6830.0,1138.3333333333333,0.0,0.0,0.9318828274749983
PRV51058,No,5.0,91000.0,18200.0,22129.166274399042,5340.0,78.0,16030.0,205.51282051282053,375.3739172552853,83.0,107030.0,1274.1666666666667,0.05952380952380952,1.2158214534585485,1.817678516632248
PRV51059,Yes,25.0,401000.0,16040.0,16539.04471243729,26700.0,71.0,20060.0,282.53521126760563,538.3751169952022,96.0,421060.0,4340.8247422680415,0.25773195876288657,1.0310482334291684,1.8987945609586885
PRV51060,No,5.0,35000.0,7000.0,4301.162633521313,5340.0,37.0,8710.0,235.40540540540542,274.0802254267351,42.0,43710.0,1016.5116279069767,0.11627906976744186,0.6143640384975451,1.1593653070526122
PRV51061,No,1.0,3000.0,3000.0,0.0,1068.0,144.0,51940.0,360.69444444444446,820.8921062105845,145.0,54940.0,376.3013698630137,0.00684931506849315,0.0,2.269573444710932
PRV51062,No,3.0,45000.0,15000.0,10535.653752852739,3204.0,394.0,108380.0,275.0761421319797,560.6681031795838,397.0,153380.0,385.37688442211055,0.007537688442211055,0.7023300948505259,2.0308459066758235
PRV51063,No,0.0,0.0,0.0,0.0,0.0,149.0,51110.0,343.02013422818794,649.1935794860635,149.0,51110.0,340.73333333333335,0.0,0.0,1.8870801877411472
PRV51064,Yes,36.0,280000.0,7777.777777777777,7187.732052844767,38448.0,267.0,80320.0,300.8239700374532,539.7222159599519,303.0,360320.0,1185.2631578947369,0.11842105263157894,0.9240181758859991,1.788201963856542
PRV51065,No,10.0,75000.0,7500.0,2915.4759474226503,9612.0,18.0,1570.0,87.22222222222223,89.62704132095243,28.0,76570.0,2640.344827586207,0.3448275862068966,0.38867830254934677,1.0159236421770426
PRV51066,No,2.0,19000.0,9500.0,7778.174593052023,2136.0,22.0,5790.0,263.1818181818182,502.1893625358426,24.0,24790.0,991.6,0.08,0.8186690446323569,1.9009232580503332
PRV51067,Yes,12.0,326000.0,27166.666666666668,23241.159935586587,12816.0,46.0,8520.0,185.2173913043478,390.42278582431794,58.0,334520.0,5669.830508474576,0.2033898305084746,0.8554713299726361,2.0965967952274838
PRV51068,No,9.0,77000.0,8555.555555555555,5126.185499743233,8544.0,252.0,66260.0,262.93650793650795,514.6732494715665,261.0,143260.0,546.7938931297709,0.03435114503816794,0.5990945148968185,1.9499888571511117
PRV51070,No,10.0,101000.0,10100.0,5952.590472502987,10680.0,89.0,24410.0,274.2696629213483,593.8183216968297,99.0,125410.0,1254.1,0.1,0.5893070460848417,2.1572239940821194
PRV51071,No,0.0,0.0,0.0,0.0,0.0,24.0,8550.0,356.25,728.391990142909,24.0,8550.0,342.0,0.0,0.0,2.0388859066281566
PRV51072,No,12.0,72000.0,6000.0,3741.657386773941,11748.0,200.0,47170.0,235.85,463.15856548693955,212.0,119170.0,559.4835680751173,0.056338028169014086,0.6235056468545145,1.9554932045047058
PRV51074,No,5.0,31000.0,6200.0,5215.361924162119,5340.0,34.0,10170.0,299.11764705882354,513.9058258678944,39.0,41170.0,1029.25,0.125,0.841051753614275,1.7123479105751085
PRV51075,No,0.0,0.0,0.0,0.0,0.0,17.0,8550.0,502.94117647058823,765.4881180159032,17.0,8550.0,475.0,0.0,0.0,1.5190029189063097
PRV51076,No,0.0,0.0,0.0,0.0,0.0,29.0,10230.0,352.7586206896552,853.5467873682151,29.0,10230.0,341.0,0.0,0.0,2.4127943107201713
PRV51077,Yes,16.0,199000.0,12437.5,13559.590701787425,16020.0,17.0,5350.0,314.70588235294116,632.3282142908344,33.0,204350.0,6010.294117647059,0.47058823529411764,1.0901306991829742,2.0029028587561366
PRV51078,No,9.0,76000.0,8444.444444444445,4772.607021092118,8544.0,14.0,2270.0,162.14285714285714,219.30584794996903,23.0,78270.0,3261.25,0.375,0.5651102262867431,1.344256511076868
PRV51081,No,6.0,79000.0,13166.666666666666,17279.081765726634,6408.0,194.0,45080.0,232.37113402061857,485.090180592759,200.0,124080.0,617.3134328358209,0.029850746268656716,1.3122356605113512,2.0786211740733145
PRV51082,No,0.0,0.0,0.0,0.0,0.0,34.0,5470.0,160.88235294117646,237.41496272903532,34.0,5470.0,156.28571428571428,0.0,0.0,1.4665895226720933
PRV51083,No,0.0,0.0,0.0,0.0,0.0,90.0,18100.0,201.11111111111111,512.3210993741329,90.0,18100.0,198.9010989010989,0.0,0.0,2.534848759959976
PRV51084,Yes,20.0,191000.0,9550.0,11311.26592570899,21360.0,90.0,24580.0,273.1111111111111,571.5180739608503,110.0,215580.0,1942.162162162162,0.18018018018018017,1.1843017407296608,2.084986893249961
PRV51086,No,31.0,413000.0,13322.58064516129,12765.545024986057,33108.0,108.0,33170.0,307.1296296296296,623.4214471736782,139.0,446170.0,3186.9285714285716,0.22142857142857142,0.9581166928743067,2.0232440740055666
PRV51089,No,18.0,177000.0,9833.333333333334,10251.25530333323,18156.0,210.0,53900.0,256.6666666666667,538.152371063864,228.0,230900.0,1008.296943231441,0.07860262008733625,1.0423945330983184,2.0885603016708822
PRV51090,No,0.0,0.0,0.0,0.0,0.0,7.0,5830.0,832.8571428571429,1303.798479900355,7.0,5830.0,728.75,0.0,0.0,1.5635753570845443
PRV51091,No,0.0,0.0,0.0,0.0,0.0,44.0,9270.0,210.6818181818182,451.69138325658287,44.0,9270.0,206.0,0.0,0.0,2.13382229582238
PRV51093,No,2.0,11000.0,5500.0,7778.174593052023,2136.0,7.0,2710.0,387.14285714285717,760.6732606867482,9.0,13710.0,1371.0,0.2,1.4139564793768447,1.9597765273490015
PRV51096,No,0.0,0.0,0.0,0.0,0.0,5.0,3200.0,640.0,826.4381404557754,5.0,3200.0,533.3333333333334,0.0,0.0,1.2892950709138462
PRV51097,No,0.0,0.0,0.0,0.0,0.0,125.0,44420.0,355.36,751.1727862740433,125.0,44420.0,352.53968253968253,0.0,0.0,2.1079043278539773
PRV51098,No,0.0,0.0,0.0,0.0,0.0,4.0,300.0,75.0,85.04900548115383,4.0,300.0,60.0,0.0,0.0,1.1190658615941294
PRV51100,No,5.0,78000.0,15600.0,11436.782764396638,5340.0,0.0,0.0,0.0,0.0,5.0,78000.0,13000.0,0.8333333333333334,0.7330801079672224,0.0
PRV51101,No,3.0,16600.0,5533.333333333333,6576.726642740547,3204.0,0.0,0.0,0.0,0.0,3.0,16600.0,4150.0,0.75,1.1883502938156743,0.0
PRV51102,No,12.0,148000.0,12333.333333333334,12017.663767315278,12816.0,0.0,0.0,0.0,0.0,12.0,148000.0,11384.615384615385,0.9230769230769231,0.9743261709035979,0.0
PRV51103,Yes,0.0,0.0,0.0,0.0,0.0,6.0,440.0,73.33333333333333,71.46094504459528,6.0,440.0,62.857142857142854,0.0,0.0,0.9613580050842414
PRV51104,No,0.0,0.0,0.0,0.0,0.0,12.0,1900.0,158.33333333333334,202.83595401807898,12.0,1900.0,146.15384615384616,0.0,0.0,1.2730290001134663
PRV51105,No,0.0,0.0,0.0,0.0,0.0,12.0,6540.0,545.0,767.4455858708989,12.0,6540.0,503.0769230769231,0.0,0.0,1.4055779961005475
PRV51108,No,19.0,156000.0,8210.526315789473,5633.027086038801,19224.0,0.0,0.0,0.0,0.0,19.0,156000.0,7800.0,0.95,0.685990261665164,0.0
PRV51109,No,3.0,18000.0,6000.0,2645.7513110645905,3204.0,0.0,0.0,0.0,0.0,3.0,18000.0,4500.0,0.75,0.4408850709989319,0.0
PRV51110,No,5.0,27000.0,5400.0,2509.980079602227,5340.0,0.0,0.0,0.0,0.0,5.0,27000.0,4500.0,0.8333333333333334,0.4647250656549207,0.0
PRV51111,No,0.0,0.0,0.0,0.0,0.0,132.0,54860.0,415.6060606060606,886.0584799473751,132.0,54860.0,412.4812030075188,0.0,0.0,2.1268497118317846
PRV51112,No,0.0,0.0,0.0,0.0,0.0,304.0,105250.0,346.2171052631579,655.4920296194023,304.0,105250.0,345.08196721311475,0.0,0.0,1.8878448661755904
PRV51113,No,0.0,0.0,0.0,0.0,0.0,132.0,46390.0,351.43939393939394,712.566731923337,132.0,46390.0,348.796992481203,0.0,0.0,2.021813520783296
PRV51114,No,0.0,0.0,0.0,0.0,0.0,262.0,76720.0,292.82442748091603,708.7145287296077,262.0,76720.0,291.71102661596956,0.0,0.0,2.412034066757907
PRV51115,No,0.0,0.0,0.0,0.0,0.0,7.0,980.0,140.0,203.9607805437114,7.0,980.0,122.5,0.0,0.0,1.4465303584660383
PRV51117,No,0.0,0.0,0.0,0.0,0.0,12.0,1950.0,162.5,390.8527972151524,12.0,1950.0,150.0,0.0,0.0,2.390536986025397
PRV51118,No,16.0,136000.0,8500.0,5738.757124441959,14952.0,0.0,0.0,0.0,0.0,16.0,136000.0,8000.0,0.9411764705882353,0.6750684771723278,0.0
PRV51119,Yes,94.0,985000.0,10478.72340425532,13905.772548863895,96120.0,1.0,95580.0,95580.0,0.0,95.0,1080580.0,11256.041666666666,0.9791666666666666,1.3269217146721086,0.0
PRV51120,No,7.0,52000.0,7428.571428571428,4649.628761422531,7476.0,0.0,0.0,0.0,0.0,7.0,52000.0,6500.0,0.875,0.625827318052526,0.0
PRV51121,No,6.0,81000.0,13500.0,16404.26773739078,6408.0,1.0,80.0,80.0,0.0,7.0,81080.0,10135.0,0.75,1.2150409404778002,0.0
PRV51122,No,0.0,0.0,0.0,0.0,0.0,7.0,1120.0,160.0,200.91457554559517,7.0,1120.0,140.0,0.0,0.0,1.2479166182956223
PRV51123,No,2.0,9000.0,4500.0,707.1067811865476,2136.0,29.0,17910.0,617.5862068965517,913.9422268878213,31.0,26910.0,840.9375,0.0625,0.1570999291683065,1.4774694564773296
PRV51125,No,12.0,110000.0,9166.666666666666,8122.173167921069,12816.0,36.0,21310.0,591.9444444444445,934.1453525455981,48.0,131310.0,2679.795918367347,0.24489795918367346,0.8859586046527,1.575434867967841
PRV51126,Yes,20.0,177000.0,8850.0,6200.806399170997,21360.0,0.0,0.0,0.0,0.0,20.0,177000.0,8428.57142857143,0.9523809523809523,0.7005769290668847,0.0
PRV51128,No,5.0,90000.0,18000.0,10295.630140987001,5340.0,45.0,12220.0,271.55555555555554,551.5637091511054,50.0,102220.0,2004.313725490196,0.09803921568627451,0.5719476774060887,2.023674432270668
PRV51129,No,0.0,0.0,0.0,0.0,0.0,96.0,22920.0,238.75,364.57401241217923,96.0,22920.0,236.28865979381445,0.0,0.0,1.5206423875377653
PRV51130,No,0.0,0.0,0.0,0.0,0.0,7.0,4970.0,710.0,1110.8555261599054,7.0,4970.0,621.25,0.0,0.0,1.562384706272722
PRV51131,No,0.0,0.0,0.0,0.0,0.0,8.0,1160.0,145.0,272.81600288210996,8.0,1160.0,128.88888888888889,0.0,0.0,1.8686027594665064
PRV51132,No,1.0,4000.0,4000.0,0.0,1068.0,7.0,1330.0,190.0,303.5347316755256,8.0,5330.0,592.2222222222222,0.1111111111111111,0.0,1.5891870768352128
PRV51134,No,0.0,0.0,0.0,0.0,0.0,15.0,7610.0,507.3333333333333,862.0363488082546,15.0,7610.0,475.625,0.0,0.0,1.695809210770337
PRV51135,No,0.0,0.0,0.0,0.0,0.0,5.0,300.0,60.0,25.495097567963924,5.0,300.0,50.0,0.0,0.0,0.4179524191469496
PRV51136,No,1.0,20000.0,20000.0,0.0,1068.0,0.0,0.0,0.0,0.0,1.0,20000.0,10000.0,0.5,0.0,0.0
PRV51137,No,1.0,6000.0,6000.0,0.0,1068.0,54.0,10050.0,186.11111111111111,478.20188626265093,55.0,16050.0,286.60714285714283,0.017857142857142856,0.0,2.5557107935652366
PRV51138,No,1.0,6000.0,6000.0,0.0,1068.0,25.0,7430.0,297.2,730.9669395168747,26.0,13430.0,497.4074074074074,0.037037037037037035,0.0,2.451264049352363
PRV51139,No,7.0,41300.0,5900.0,3911.947511576981,7476.0,36.0,11280.0,313.3333333333333,611.391854705311,43.0,52580.0,1195.0,0.1590909090909091,0.6629295901672566,1.9450430160296213
PRV51140,No,47.0,307400.0,6540.425531914893,4119.500791541113,49128.0,440.0,145730.0,331.20454545454544,777.2908116669353,487.0,453130.0,928.5450819672132,0.09631147540983606,0.6297558187343911,2.3397958345313783
PRV51141,No,0.0,0.0,0.0,0.0,0.0,71.0,19490.0,274.50704225352115,409.52512126815634,71.0,19490.0,270.69444444444446,0.0,0.0,1.4864415730299625
PRV51142,No,7.0,97000.0,13857.142857142857,19701.341506173052,7476.0,44.0,7570.0,172.04545454545453,303.71788887941716,51.0,104570.0,2010.9615384615386,0.1346153846153846,1.421643701415479,1.7551335842782185
PRV51143,No,0.0,0.0,0.0,0.0,0.0,77.0,20450.0,265.5844155844156,515.6944564230928,77.0,20450.0,262.1794871794872,0.0,0.0,1.9344508766297144
PRV51144,No,4.0,53000.0,13250.0,13475.286020464773,4272.0,26.0,8220.0,316.15384615384613,566.4703128890475,30.0,61220.0,1974.8387096774193,0.12903225806451613,1.0169259693958774,1.7861057646271206
PRV51145,Yes,161.0,1600600.0,9941.614906832297,8862.015565083171,166608.0,41.0,5750.0,140.2439024390244,208.1404310180755,202.0,1606350.0,7913.054187192119,0.7931034482758621,0.8913163838814105,1.4736241878330332
PRV51146,Yes,162.0,1618200.0,9988.888888888889,9909.534902687294,170880.0,190.0,62710.0,330.05263157894734,655.408509767441,352.0,1680910.0,4761.784702549575,0.45892351274787535,0.9919564684757437,1.9797713331607918
PRV51147,No,0.0,0.0,0.0,0.0,0.0,32.0,8860.0,276.875,691.7319894014519,32.0,8860.0,268.4848484848485,0.0,0.0,2.4893638844856567
PRV51148,Yes,34.0,398400.0,11717.64705882353,9772.951869076922,35244.0,296.0,90260.0,304.93243243243245,568.3571288614427,330.0,488660.0,1476.3141993957704,0.1027190332326284,0.8339658853125369,1.8577864541608178
PRV51149,Yes,116.0,1113000.0,9594.827586206897,8857.302021521551,123888.0,32.0,7680.0,240.0,543.2221668715712,148.0,1120680.0,7521.342281879195,0.7785234899328859,0.9230368034387251,2.254033887433905
PRV51151,No,22.0,142000.0,6454.545454545455,4067.610422035835,22428.0,211.0,59300.0,281.042654028436,584.13456789516,233.0,201300.0,860.2564102564103,0.09401709401709402,0.6300955435410596,2.071085913963448
PRV51152,No,0.0,0.0,0.0,0.0,0.0,83.0,25770.0,310.48192771084337,645.3395846741914,83.0,25770.0,306.7857142857143,0.0,0.0,2.071836364366143
PRV51153,No,4.0,51000.0,12750.0,14314.910641239318,4272.0,83.0,20490.0,246.86746987951807,469.6935371142923,87.0,71490.0,812.3863636363636,0.045454545454545456,1.1226500385255522,1.8949381996056125
PRV51154,No,0.0,0.0,0.0,0.0,0.0,161.0,45750.0,284.16149068322983,796.7085092791241,161.0,45750.0,282.4074074074074,0.0,0.0,2.7938853432497432
PRV51155,No,0.0,0.0,0.0,0.0,0.0,115.0,26330.0,228.95652173913044,483.3098129420105,115.0,26330.0,226.98275862068965,0.0,0.0,2.1017443179554247
PRV51156,No,0.0,0.0,0.0,0.0,0.0,542.0,140640.0,259.48339483394835,533.4428603946388,542.0,140640.0,259.0055248618784,0.0,0.0,2.0478958389447257
PRV51159,Yes,65.0,635660.0,9779.384615384615,8873.239240287878,69420.0,504.0,162130.0,321.68650793650795,783.3380001009112,569.0,797790.0,1399.6315789473683,0.11403508771929824,0.9072484967851069,2.4275511396808738
PRV51160,No,90.0,866000.0,9622.222222222223,9706.453057698182,96120.0,24.0,6020.0,250.83333333333334,571.8993273118182,114.0,872020.0,7582.782608695652,0.782608695652174,1.0086489570285262,2.270943721952951
PRV51164,No,41.0,443000.0,10804.878048780487,9505.83902713254,43788.0,350.0,113980.0,325.65714285714284,612.1917945276155,391.0,556980.0,1420.8673469387754,0.10459183673469388,0.8796914960747069,1.8741111526691632
PRV51165,No,26.0,306000.0,11769.23076923077,13063.866785321083,27768.0,72.0,23700.0,329.1666666666667,615.1165010460661,98.0,329700.0,3330.3030303030305,0.26262626262626265,1.109907447139616,1.8630484635418458
PRV51166,No,1.0,22000.0,22000.0,0.0,1068.0,4.0,2870.0,717.5,1321.8011701210335,5.0,24870.0,4145.0,0.16666666666666666,0.0,1.83966759933338
PRV51167,No,0.0,0.0,0.0,0.0,0.0,190.0,51980.0,273.57894736842104,546.3295820773889,190.0,51980.0,272.14659685863876,0.0,0.0,1.9896994555243221
PRV51168,No,9.0,63000.0,7000.0,7000.0,9612.0,78.0,17470.0,223.97435897435898,537.757101889599,87.0,80470.0,914.4318181818181,0.10227272727272728,0.999857163262391,2.390303963265826
PRV51169,No,0.0,0.0,0.0,0.0,0.0,77.0,19380.0,251.6883116883117,512.5385803126962,77.0,19380.0,248.46153846153845,0.0,0.0,2.028343047955883
PRV51170,Yes,8.0,145000.0,18125.0,19628.24131558549,8544.0,8.0,820.0,102.5,100.95968077830447,16.0,145820.0,8577.64705882353,0.47058823529411764,1.0828777069174385,0.975455852930478
PRV51171,No,0.0,0.0,0.0,0.0,0.0,59.0,13820.0,234.23728813559322,505.2114729286399,59.0,13820.0,230.33333333333334,0.0,0.0,2.147667476243948
PRV51173,Yes,7.0,90000.0,12857.142857142857,9172.941575244942,7476.0,15.0,6290.0,419.3333333333333,954.3918532362949,22.0,96290.0,4186.521739130435,0.30434782608695654,0.7133955250893219,2.2705595239562926
PRV51175,No,0.0,0.0,0.0,0.0,0.0,41.0,9650.0,235.3658536585366,417.4691459316221,41.0,9650.0,229.76190476190476,0.0,0.0,1.7661990489316381
PRV51176,No,0.0,0.0,0.0,0.0,0.0,445.0,145980.0,328.0449438202247,703.2620247482307,445.0,145980.0,327.30941704035877,0.0,0.0,2.1372825747854716
PRV51178,Yes,34.0,422000.0,12411.764705882353,10348.81825213325,36312.0,31.0,9180.0,296.1290322580645,359.51520523574374,65.0,431180.0,6533.030303030303,0.5151515151515151,0.8337238719452236,1.2099632355127625
PRV51179,No,0.0,0.0,0.0,0.0,0.0,26.0,5000.0,192.30769230769232,310.19100815217314,26.0,5000.0,185.1851851851852,0.0,0.0,1.6046490672416436
PRV51180,No,2.0,47000.0,23500.0,24748.737341529162,2136.0,127.0,47240.0,371.9685039370079,705.056610774589,129.0,94240.0,724.9230769230769,0.015384615384615385,1.0530929467481878,1.8903918248648384
PRV51181,No,0.0,0.0,0.0,0.0,0.0,10.0,2150.0,215.0,275.8522148623143,10.0,2150.0,195.45454545454547,0.0,0.0,1.2770935873255294
PRV51183,No,41.0,336800.0,8214.634146341463,9372.768026992073,42720.0,72.0,18990.0,263.75,537.2476479346072,113.0,355790.0,3120.964912280702,0.35964912280701755,1.1408453516842516,2.029264014861595
PRV51185,No,0.0,0.0,0.0,0.0,0.0,8.0,1590.0,198.75,191.045058260386,8.0,1590.0,176.66666666666666,0.0,0.0,0.9564208173235845
PRV51186,No,0.0,0.0,0.0,0.0,0.0,2.0,100.0,50.0,0.0,2.0,100.0,33.333333333333336,0.0,0.0,0.0
PRV51189,No,0.0,0.0,0.0,0.0,0.0,56.0,8740.0,156.07142857142858,254.49899854368832,56.0,8740.0,153.33333333333334,0.0,0.0,1.6202755705373515
PRV51190,No,3.0,24000.0,8000.0,6244.9979983983985,3204.0,63.0,15310.0,243.015873015873,477.2726106799697,66.0,39310.0,586.7164179104477,0.04477611940298507,0.7805271839018121,1.9559080513132174
